OrderID,CustomerID,ProductID,StoreID,Sales Channel,OrderDate,Order Quantity,Discount Applied,Unit Price,Unit Cost
SO - 000101,15,12,259,In-Store,2018-05-31,5,0.075,1963.1,1001.181
SO - 000102,20,27,196,Online,2018-05-31,3,0.075,3939.6,3348.66
SO - 000103,16,16,213,Distributor,2018-05-31,1,0.05,1775.5,781.22
SO - 000104,48,23,107,Wholesale,2018-05-31,8,0.075,2324.9,1464.687
SO - 000105,49,26,111,Distributor,2018-05-31,8,0.1,1822.4,1476.144
SO - 000106,21,1,285,Online,2018-05-31,5,0.05,1038.5,446.555
SO - 000107,14,5,6,In-Store,2018-05-31,4,0.15,1192.6,536.67
SO - 000108,9,46,280,In-Store,2018-05-31,5,0.05,1815.7,1525.188
SO - 000109,9,47,299,In-Store,2018-06-01,4,0.3,3879.3,2211.201
SO - 000110,33,13,261,In-Store,2018-06-01,8,0.05,1956.4,1212.968
SO - 000111,21,38,17,Distributor,2018-06-01,6,0.1,201.0,124.62
SO - 000112,21,40,152,In-Store,2018-06-01,5,0.15,6277.9,2762.276
SO - 000113,36,39,317,In-Store,2018-06-01,5,0.05,1051.9,641.659
SO - 000114,17,32,291,In-Store,2018-06-01,6,0.15,254.6,216.41
SO - 000115,32,6,138,In-Store,2018-06-01,6,0.15,3932.9,3146.32
SO - 000116,11,25,354,In-Store,2018-06-01,3,0.05,1112.2,700.686
SO - 000117,10,6,320,In-Store,2018-06-01,3,0.075,1239.5,904.835
SO - 000118,30,3,21,In-Store,2018-06-01,4,0.1,984.9,393.96
SO - 000119,5,20,349,In-Store,2018-06-01,4,0.1,5581.1,4130.014
SO - 000120,23,24,134,Online,2018-06-01,4,0.05,3095.4,1795.332
SO - 000121,46,33,193,Wholesale,2018-06-01,4,0.4,2278.0,1754.06
SO - 000122,14,1,282,In-Store,2018-06-02,7,0.075,991.6,654.456
SO - 000123,40,35,20,In-Store,2018-06-02,2,0.2,3979.8,3064.446
SO - 000124,19,15,218,Distributor,2018-06-02,3,0.4,1969.8,866.712
SO - 000125,15,13,173,In-Store,2018-06-02,1,0.15,268.0,131.32
SO - 000126,46,24,110,Online,2018-06-02,7,0.1,174.2,95.81
SO - 000127,32,46,229,In-Store,2018-06-02,3,0.075,2988.2,2510.088
SO - 000128,32,36,238,In-Store,2018-06-02,4,0.05,3999.9,2679.933
SO - 000129,22,37,97,Distributor,2018-06-02,3,0.05,5976.4,2450.324
SO - 000130,5,32,103,In-Store,2018-06-02,5,0.1,2901.1,2378.902
SO - 000131,29,23,305,In-Store,2018-06-03,7,0.075,6076.9,2734.605
SO - 000132,35,14,303,Online,2018-06-03,7,0.2,5735.2,4186.696
SO - 000133,46,7,217,Online,2018-06-03,3,0.1,3919.5,2077.335
SO - 000134,42,46,362,Online,2018-06-03,1,0.05,6083.6,3832.668
SO - 000135,2,40,335,Wholesale,2018-06-03,5,0.075,2566.1,1642.304
SO - 000136,28,38,84,Distributor,2018-06-03,2,0.075,2278.0,1093.44
SO - 000137,46,1,256,In-Store,2018-06-03,1,0.075,261.3,120.198
SO - 000138,22,17,360,Online,2018-06-03,8,0.05,998.3,698.81
SO - 000139,34,40,90,In-Store,2018-06-03,6,0.2,3497.4,1958.544
SO - 000140,26,25,196,In-Store,2018-06-03,4,0.05,1132.3,486.889
SO - 000141,26,2,40,In-Store,2018-06-03,7,0.05,2405.3,1587.498
SO - 000142,24,3,367,Distributor,2018-06-03,8,0.05,5701.7,3249.969
SO - 000143,18,34,249,Distributor,2018-06-04,1,0.2,2452.2,1446.798
SO - 000144,21,11,6,In-Store,2018-06-04,3,0.05,3095.4,2012.01
SO - 000145,14,8,212,Online,2018-06-04,4,0.4,3865.9,2164.904
SO - 000146,3,11,37,Distributor,2018-06-04,8,0.1,2304.8,1382.88
SO - 000147,13,35,38,Online,2018-06-04,3,0.05,3195.9,1470.114
SO - 000148,49,33,294,Online,2018-06-04,7,0.05,6452.1,5161.68
SO - 000149,4,16,105,Distributor,2018-06-05,3,0.3,2003.3,921.518
SO - 000150,20,8,17,Distributor,2018-06-05,8,0.05,3638.1,1455.24
SO - 000151,19,44,109,In-Store,2018-06-05,3,0.075,2278.0,1822.4
SO - 000152,25,22,141,Online,2018-06-05,6,0.3,924.6,582.498
SO - 000153,8,16,111,Online,2018-06-05,5,0.05,3926.2,3062.436
SO - 000154,24,25,349,Distributor,2018-06-05,4,0.075,3825.7,2257.163
SO - 000155,13,4,360,Wholesale,2018-06-05,3,0.05,2257.9,1377.319
SO - 000156,32,33,148,Distributor,2018-06-06,8,0.075,1112.2,756.296
SO - 000157,28,45,103,Online,2018-06-06,8,0.05,3557.7,1814.427
SO - 000158,8,45,59,Online,2018-06-06,3,0.4,2371.8,1233.336
